time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T13:43:51.830Z,19.188,-67.2556,42,2.65,md,11,299,0.7348,0.16,pr,pr2019280017,2019-10-07T14:24:34.040Z,"65km N of San Antonio, Puerto Rico",earthquake,1.21,5.03,0.11,11,reviewed,pr,pr
2019-10-07T13:42:16.780Z,37.6450005,-118.9513321,4.9,0.96,md,13,102,0.02292,0.01,nc,nc73288075,2019-10-07T13:58:02.319Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.87,0.93,0.17,11,automatic,nc,nc
2019-10-07T13:36:04.744Z,61.8624,-152.1742,135.7,1.7,ml,,,,0.9,ak,ak019cvafja2,2019-10-07T13:41:49.122Z,"113km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-07T13:31:07.510Z,35.8416667,-117.6678333,6.98,0.9,ml,15,81,0.06273,0.31,ci,ci39116600,2019-10-07T13:34:55.164Z,"24km ESE of Little Lake, CA",earthquake,0.65,1.24,0.188,13,automatic,ci,ci
2019-10-07T13:29:29.890Z,35.8683333,-117.698,6.6,0.78,ml,11,73,0.08069,0.14,ci,ci39116592,2019-10-07T13:32:59.233Z,"20km ESE of Little Lake, CA",earthquake,0.36,0.85,0.157,9,automatic,ci,ci
2019-10-07T13:21:00.908Z,68.664,-147.5096,0.2,2.4,ml,,,,0.95,ak,ak019cvacb8d,2019-10-07T13:27:55.384Z,"100km NW of Arctic Village, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-10-07T13:19:50.700Z,35.9283333,-117.754,9.68,0.55,ml,10,81,0.05579,0.21,ci,ci39116576,2019-10-07T13:23:21.168Z,"14km E of Little Lake, CA",earthquake,0.74,2.12,0.071,4,automatic,ci,ci
2019-10-07T13:17:27.090Z,36.7405014,-121.4075012,7.61,1.23,md,8,159,0.03961,0.02,nc,nc73288070,2019-10-07T16:16:03.668Z,"9km SSW of Ridgemark, CA",earthquake,1.25,2.46,0.16,6,automatic,nc,nc
2019-10-07T13:17:11.735Z,60.1713,-141.2922,0,1.9,ml,,,,0.94,ak,ak019cvabh7y,2019-10-07T13:23:03.396Z,"64km E of Cape Yakataga, Alaska",earthquake,,1,,,automatic,ak,ak
2019-10-07T13:12:13.420Z,35.7953333,-117.6076667,10.56,0.77,ml,14,106,0.02197,0.17,ci,ci39116568,2019-10-07T14:46:12.189Z,"19km W of Searles Valley, CA",earthquake,0.45,0.76,0.208,8,reviewed,ci,ci
2019-10-07T13:11:25.906Z,62.9655,-149.6102,73.5,1.6,ml,,,,0.66,ak,ak019cvaa806,2019-10-07T13:17:41.400Z,"57km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-07T12:50:00.510Z,35.9245,-117.7143333,2.53,0.84,ml,18,50,0.05691,0.19,ci,ci39116512,2019-10-07T13:00:30.000Z,"17km E of Little Lake, CA",earthquake,0.29,0.48,0.102,11,reviewed,ci,ci
2019-10-07T12:45:58.480Z,38.8199997,-122.791832,3.16,0.4,md,9,78,0.01232,0.02,nc,nc73288060,2019-10-07T13:36:03.182Z,"6km NNW of The Geysers, CA",earthquake,0.5,0.8,0.15,2,automatic,nc,nc
